VAL	WHITE-X	WHITE-Y	WHITE-Z	WHITE-LAB50-X	WHITE-LAB50-Y	WHITE-LAB50-Z	RED-X	RED-Y	RED-Z	RED-LAB50-X	RED-LAB50-Y	RED-LAB50-Z	GREEN-X	GREEN-Y	GREEN-Z	GREEN-LAB50-X	GREEN-LAB50-Y	GREEN-LAB50-Z	BLUE-X	BLUE-Y	BLUE-Z	BLUE-LAB50-X	BLUE-LAB50-Y	BLUE-LAB50-Z
21	720.658542	640.292805	1647.100488	199.402561	49.131341	-171.202352	316.238704	135.631872	12.166979	112.404006	189.414804	115.715123	89.709833	390.304132	93.663096	166.638517	-299.114302	106.244126	273.629816	90.696921	1558.73879	96.285111	223.906624	-339.109518
22	804.554456	714.663936	1837.814463	207.438811	51.044242	-177.528379	353.597419	151.753748	13.705482	117.302348	196.47272	119.882101	100.514555	437.450434	105.471232	173.714681	-310.756448	110.020871	305.2589	101.205698	1739.16164	100.464342	232.179808	-351.711684
23	887.749858	789.965684	2027.669734	215.025932	52.157025	-183.19456	391.878131	168.192897	15.269374	121.951747	203.309319	123.865992	110.875356	482.619721	116.269077	180.031717	-321.13208	113.743858	337.521512	111.896696	1923.036507	104.428814	240.095394	-363.6995
24	968.712643	862.593674	2212.256857	221.899436	53.465581	-188.479676	431.119695	184.938495	16.681153	126.385936	209.987907	128.101317	121.337846	528.53801	127.119947	186.061419	-331.138136	117.370478	368.415541	122.239988	2099.04288	108.03067	247.060562	-374.413656
25	1052.481531	937.091121	2405.566148	228.559909	54.999881	-193.94844	468.482843	201.093176	18.497279	130.416639	215.754069	130.936433	132.021472	574.728412	138.098516	191.784052	-340.404812	120.769508	401.777165	133.187009	2288.891687	111.627799	254.471998	-385.437498
26	1136.579676	1012.805519	2594.491478	234.976664	56.129521	-198.596501	507.336061	217.754889	19.591432	134.353645	221.576492	135.374338	142.580301	620.635772	149.193783	197.17532	-349.219277	123.867974	434.988305	144.192005	2478.17873	115.05041	261.304461	-395.78722
27	1216.201318	1085.632417	2774.064485	240.85356	56.772632	-202.705346	545.860804	234.249124	21.286729	138.057903	227.087525	138.286824	154.331441	669.455095	161.752357	202.624321	-357.468146	126.608914	466.537317	154.603728	2657.727972	118.131663	267.532637	-405.141373
28	1298.44203	1159.116423	2963.895552	246.522789	58.000909	-207.332423	585.659957	251.255905	23.082669	141.699415	232.543004	141.080621	163.653856	712.803209	171.141263	207.244724	-365.8366	129.822475	497.928456	165.200435	2836.96396	121.128708	273.171594	-413.970226
29	1382.586391	1235.364015	3154.831903	252.157309	58.874492	-211.495522	624.704717	268.020056	24.303394	145.131489	237.58836	144.731441	174.495669	758.871703	182.91792	211.954118	-373.245558	132.220471	530.536424	175.851372	3022.233256	124.014574	279.200704	-422.855317
30	1465.356898	1308.883064	3347.110354	257.37467	60.158023	-215.920496	663.160644	284.726507	25.230814	148.412168	242.194597	148.716072	185.275723	806.812416	194.097793	216.656673	-381.217564	135.119633	562.725763	186.515125	3205.41164	126.789413	284.743152	-431.229074
31	1538.586642	1379.345076	3504.978299	262.194773	59.678168	-218.24933	702.07024	301.39321	27.107226	151.559534	246.872806	150.881591	196.15047	852.454032	205.093276	220.963604	-387.850554	137.614218	594.959331	197.202803	3389.111602	129.466286	290.075216	-439.314932
32	1624.042181	1452.701682	3709.965971	267.041512	61.673552	-223.24135	739.678152	317.515305	28.403797	154.495483	251.221952	153.77729	206.100158	897.446557	215.518034	225.061315	-394.977158	140.164261	627.589683	207.964084	3575.213576	132.065576	295.339629	-447.240862
33	1707.674419	1528.956415	3902.352255	271.90974	62.32322	-226.935494	778.815619	334.333695	30.079339	157.454154	255.563311	156.174522	217.056933	944.545674	226.57965	229.206687	-401.628019	142.677155	657.945922	218.07867	3748.442599	134.428128	299.971705	-454.33547
34	1784.705647	1601.833058	4071.45318	276.413267	62.22096	-229.47147	817.832053	351.155277	31.478604	160.315728	259.709379	158.926146	227.317854	989.3322	238.568874	233.022566	-407.908395	144.400643	691.869491	229.333652	3941.795406	136.972695	305.030615	-462.01444
